Date,Price,Open,High,Low,Vol.,Change %
06/22/2024,64262.0,64143.6,64528.9,63947.1,7.31K,0.20%
06/21/2024,64131.1,64870.0,65062.0,63443.9,25.99K,-1.11%
06/20/2024,64848.7,64974.4,66475.0,64570.0,24.27K,-0.23%
06/19/2024,64995.2,65184.0,65709.3,64707.5,20.06K,-0.24%
06/18/2024,65154.3,66515.5,66574.0,64116.0,42.35K,-2.03%
06/17/2024,66505.5,66673.1,67256.0,65134.0,27.39K,-0.27%
06/16/2024,66682.9,66216.1,66945.9,66040.0,9.38K,0.69%
06/15/2024,66228.3,66051.2,66455.7,65907.2,11.46K,0.28%
06/14/2024,66044.0,66790.1,67360.1,65090.6,28.41K,-1.11%
06/13/2024,66783.1,68280.2,68388.0,66345.4,29.08K,-2.17%
06/12/2024,68264.0,67294.1,69972.0,66916.0,37.18K,1.39%
06/11/2024,67330.0,69520.0,69580.0,66209.2,41.43K,-3.19%
06/10/2024,69549.7,69655.1,70162.6,69275.1,17.12K,-0.15%
06/09/2024,69653.7,69310.4,69852.0,69131.6,9.89K,0.49%
06/08/2024,69311.2,69308.0,69582.2,69232.8,9.78K,-0.06%
06/07/2024,69355.6,70800.0,71989.7,68532.0,35.60K,-2.04%
06/06/2024,70799.1,71120.0,71620.0,70213.2,21.85K,-0.38%
06/05/2024,71071.8,70574.1,71742.9,70396.5,28.69K,0.74%
06/04/2024,70548.0,68814.8,71024.0,68567.3,29.62K,2.53%
06/03/2024,68809.9,67769.0,70255.9,67619.5,29.63K,1.54%
06/02/2024,67765.6,67768.0,68460.0,67330.0,15.43K,0.00%
06/01/2024,67768.5,67564.8,67868.2,67470.7,8.84K,0.33%
05/31/2024,67548.0,68366.4,69010.0,66692.0,26.69K,-1.18%
05/30/2024,68352.2,67652.7,69500.0,67141.8,28.48K,1.03%
05/29/2024,67652.4,68425.1,68914.0,67150.0,23.16K,-1.06%
05/28/2024,68374.0,69420.0,69570.0,67294.3,32.62K,-1.54%
05/27/2024,69440.0,68523.9,70635.2,68280.0,23.14K,1.34%
05/26/2024,68520.1,69310.7,69488.0,68298.0,11.88K,-1.10%
05/25/2024,69284.4,68575.9,69544.4,68517.2,12.13K,1.07%
05/24/2024,68550.0,67903.8,69242.9,66680.6,28.10K,0.82%
05/23/2024,67990.0,69198.2,70061.0,66526.0,40.51K,-1.70%
05/22/2024,69166.6,70166.0,70582.7,69035.6,27.68K,-1.39%
05/21/2024,70138.1,71483.5,71854.8,69182.2,49.66K,-1.82%
05/20/2024,71434.7,66271.9,71490.8,66060.3,50.79K,7.77%
05/19/2024,66282.8,66966.7,67660.4,65960.9,18.02K,-0.95%
05/18/2024,66915.2,66938.0,67354.2,66613.6,14.44K,-0.17%
05/17/2024,67030.0,65244.3,67411.9,65115.1,26.29K,2.77%
05/16/2024,65222.0,66264.0,66637.6,64624.0,31.11K,-1.49%
05/15/2024,66206.5,61558.7,66414.5,61357.6,43.56K,7.52%
05/14/2024,61577.5,62933.4,63106.0,61162.6,29.09K,-2.16%
05/13/2024,62940.1,61535.4,63432.0,60782.2,32.73K,2.37%
05/12/2024,61484.0,60818.0,61847.3,60650.0,12.75K,1.08%
05/11/2024,60826.0,60816.0,61494.0,60487.1,13.37K,0.04%
05/10/2024,60800.0,63088.0,63444.0,60247.9,36.53K,-3.61%
05/09/2024,63074.0,61145.3,63424.0,60663.9,30.66K,3.03%
05/08/2024,61217.4,62312.1,63000.0,60900.0,26.12K,-1.77%
05/07/2024,62320.1,63165.2,64359.8,62290.0,25.60K,-1.33%
05/06/2024,63162.0,64019.9,65440.0,62720.1,34.68K,-1.30%
05/05/2024,63991.1,63892.0,64574.0,62919.6,18.54K,0.18%
05/04/2024,63878.0,62882.0,64410.0,62592.3,24.37K,1.62%
05/03/2024,62858.0,59061.8,63291.6,58826.0,43.62K,6.33%
05/02/2024,59118.7,58405.4,59553.4,56992.1,47.91K,1.31%
05/01/2024,58351.7,60710.0,60834.0,56630.0,81.05K,-3.84%
04/30/2024,60679.5,63826.0,64700.0,59276.8,54.95K,-4.97%
04/29/2024,63852.0,63083.5,64200.4,61834.0,28.15K,1.18%
04/28/2024,63109.6,63480.0,64348.0,62836.0,16.95K,-0.56%
04/27/2024,63462.0,63779.3,63916.0,62484.9,20.93K,-0.48%
04/26/2024,63770.0,64537.5,64760.0,63354.0,27.09K,-1.13%
04/25/2024,64498.3,64265.9,65234.6,62926.0,31.34K,0.31%
04/24/2024,64300.0,66390.0,67058.0,63606.1,33.60K,-3.18%
04/23/2024,66414.0,66799.1,67174.0,65832.1,22.60K,-0.61%
04/22/2024,66822.2,64915.9,67188.4,64522.0,31.40K,2.90%
04/21/2024,64936.3,64932.8,65664.0,64280.0,19.32K,-0.04%
04/20/2024,64962.0,63810.8,65362.3,63106.0,23.14K,1.79%
04/19/2024,63818.0,63416.0,65429.9,59739.0,69.77K,0.55%
04/18/2024,63470.1,61259.5,64048.2,60804.0,43.60K,3.57%
04/17/2024,61280.0,63798.4,64445.1,59854.9,50.64K,-3.94%
04/16/2024,63793.4,63369.6,64247.0,61709.2,53.41K,0.62%
04/15/2024,63400.0,65599.6,66785.1,62412.3,52.40K,-3.47%
04/14/2024,65680.9,63866.4,65737.7,62173.5,61.62K,2.76%
04/13/2024,63916.7,67048.0,67922.1,60725.4,71.39K,-4.77%
04/12/2024,67120.9,70004.9,71224.0,65771.9,56.07K,-4.13%
04/11/2024,70010.9,70604.0,71256.3,69581.2,31.92K,-0.88%
04/10/2024,70631.1,69139.7,71089.2,67608.3,42.01K,2.13%
04/09/2024,69156.0,71620.0,71736.6,68224.8,39.30K,-3.44%
04/08/2024,71623.3,69359.9,72740.0,69095.8,45.71K,3.26%
04/07/2024,69360.4,68896.0,70290.0,68854.3,21.54K,0.68%
