Date,Price,Open,High,Low,Vol.,Change %
10/06/2021,3575.58,3514.94,3627.08,3345.56,618.23K,1.64%
10/05/2021,3517.82,3386.15,3540.83,3364.83,393.90K,3.98%
10/04/2021,3383.17,3417.06,3436.13,3272.33,485.18K,-0.97%
10/03/2021,3416.18,3390.74,3485.00,3347.32,360.64K,0.82%
10/02/2021,3388.26,3310.94,3468.30,3258.28,422.51K,2.38%
10/01/2021,3309.58,2998.46,3328.74,2972.91,648.73K,10.32%
09/30/2021,2999.86,2849.34,3047.00,2837.55,506.99K,5.19%
09/29/2021,2851.72,2803.84,2949.06,2785.64,411.25K,1.57%
09/28/2021,2807.67,2920.35,2969.01,2791.10,511.61K,-4.04%
09/27/2021,2926.02,3057.50,3164.20,2926.02,510.07K,-4.48%
09/26/2021,3063.32,2923.34,3113.37,2739.59,703.59K,4.84%
09/25/2021,2921.91,2928.56,2965.49,2809.42,491.98K,-0.22%
09/24/2021,2928.24,3152.02,3157.89,2740.03,932.09K,-7.12%
09/23/2021,3152.67,3076.23,3173.14,3035.15,459.46K,2.43%
09/22/2021,3077.76,2769.40,3087.92,2740.58,677.62K,11.31%
09/21/2021,2765.14,2978.16,3100.93,2662.50,971.49K,-7.08%
09/20/2021,2975.90,3334.06,3343.83,2933.47,917.82K,-10.59%
09/19/2021,3328.23,3435.60,3455.36,3281.91,312.95K,-3.14%
09/18/2021,3436.22,3401.18,3539.57,3371.10,315.12K,1.11%
09/17/2021,3398.38,3567.89,3593.31,3352.78,398.88K,-4.75%
09/16/2021,3567.68,3614.51,3672.93,3488.03,468.16K,-1.21%
09/15/2021,3611.32,3433.88,3611.32,3360.48,428.77K,5.26%
09/14/2021,3430.91,3285.83,3430.91,3270.69,373.34K,4.44%
09/13/2021,3285.09,3401.16,3428.87,3117.75,647.87K,-3.60%
09/12/2021,3407.90,3261.32,3471.71,3231.40,408.86K,4.30%
09/11/2021,3267.27,3211.33,3345.00,3202.83,413.63K,1.76%
09/10/2021,3210.63,3421.42,3512.49,3155.60,633.01K,-6.20%
09/09/2021,3422.99,3497.93,3564.31,3395.09,628.54K,-2.18%
09/08/2021,3499.27,3436.28,3558.99,3215.32,780.72K,2.25%
09/07/2021,3422.38,3926.66,3945.67,3029.27,1.20M,-12.86%
09/06/2021,3927.43,3950.29,3968.00,3866.73,397.78K,-0.59%
09/05/2021,3950.91,3886.77,3979.00,3835.01,365.75K,1.70%
09/04/2021,3885.00,3938.54,3968.68,3832.52,364.58K,-1.27%
09/03/2021,3934.83,3785.63,4025.06,3716.75,655.82K,3.93%
09/02/2021,3786.14,3826.43,3833.42,3722.78,525.42K,-1.30%
09/01/2021,3835.96,3424.29,3840.00,3384.89,845.43K,11.85%
08/31/2021,3429.45,3229.05,3468.60,3191.48,863.10K,6.22%
08/30/2021,3228.54,3223.36,3346.21,3145.69,625.34K,0.21%
08/29/2021,3221.81,3244.64,3281.27,3156.24,335.83K,-0.68%
08/28/2021,3244.01,3273.88,3284.73,3212.53,262.35K,-0.90%
08/27/2021,3273.57,3095.81,3279.99,3061.79,451.38K,5.86%
08/26/2021,3092.48,3227.26,3249.50,3055.01,441.86K,-4.21%
08/25/2021,3228.40,3170.02,3247.63,3080.42,483.75K,1.73%
08/24/2021,3173.35,3324.58,3357.83,3150.40,540.54K,-4.50%
08/23/2021,3323.05,3232.53,3375.02,3231.63,602.09K,2.62%
08/22/2021,3238.08,3224.07,3271.96,3128.01,406.49K,0.44%
08/21/2021,3223.91,3285.12,3307.33,3200.19,421.17K,-1.82%
08/20/2021,3283.51,3182.60,3299.87,3176.85,19.54K,3.17%
08/19/2021,3182.59,3016.58,3187.21,2960.64,36.29K,5.54%
08/18/2021,3015.62,3011.54,3123.48,2951.66,42.91K,0.11%
08/17/2021,3012.34,3146.81,3290.36,2993.10,44.72K,-4.27%
08/16/2021,3146.57,3308.16,3334.21,3134.38,29.12K,-4.89%
08/15/2021,3308.41,3264.15,3319.27,3112.92,27.73K,1.35%
08/14/2021,3264.44,3321.78,3329.95,3206.12,24.14K,-1.73%
08/13/2021,3321.78,3047.01,3325.25,3034.71,26.72K,9.02%
08/12/2021,3047.01,3161.85,3237.89,2980.41,36.06K,-3.66%
08/11/2021,3162.71,3139.69,3273.26,3121.62,25.96K,0.74%
08/10/2021,3139.33,3161.37,3230.45,3053.51,29.07K,-0.72%
08/09/2021,3162.05,3011.23,3185.37,2895.64,34.54K,4.92%
08/08/2021,3013.69,3159.32,3188.54,2950.07,31.46K,-4.61%
08/07/2021,3159.39,2891.41,3169.51,2865.78,30.26K,9.30%
08/06/2021,2890.62,2827.52,2946.43,2721.55,28.59K,2.23%
08/05/2021,2827.52,2724.86,2843.32,2531.58,39.57K,3.75%
08/04/2021,2725.33,2508.60,2768.77,2459.27,29.03K,8.65%
08/03/2021,2508.37,2606.99,2631.40,2445.57,35.31K,-3.78%
08/02/2021,2606.99,2555.13,2664.82,2508.70,35.57K,2.04%
08/01/2021,2554.78,2531.41,2696.68,2512.20,41.80K,1.03%
07/31/2021,2528.85,2459.61,2552.09,2421.11,22.78K,2.74%
07/30/2021,2461.33,2382.51,2469.43,2316.75,35.78K,3.32%
07/29/2021,2382.29,2299.52,2399.15,2266.72,28.51K,3.60%
07/28/2021,2299.52,2300.35,2344.70,2244.23,40.42K,-0.08%
07/27/2021,2301.45,2228.33,2318.00,2152.76,44.82K,3.30%
07/26/2021,2227.96,2189.61,2430.64,2172.88,56.00K,1.71%
07/25/2021,2190.59,2176.17,2195.25,2108.72,27.20K,1.83%
07/24/2021,2151.19,2125.35,2166.87,2106.02,30.27K,1.25%
07/23/2021,2124.65,2025.27,2129.44,1998.37,32.41K,4.92%
07/22/2021,2025.07,1994.28,2044.38,1950.33,41.89K,1.54%
07/21/2021,1994.26,1785.64,2031.41,1757.14,53.35K,11.72%
07/20/2021,1785.08,1818.42,1840.14,1719.48,47.09K,-1.83%
07/19/2021,1818.36,1890.89,1916.45,1806.53,31.02K,-3.84%
07/18/2021,1891.04,1898.35,1991.67,1879.70,29.93K,-0.43%
07/17/2021,1899.28,1876.51,1917.64,1849.44,33.07K,1.21%
07/16/2021,1876.52,1918.88,1963.96,1850.48,34.82K,-2.14%
07/15/2021,1917.52,1994.86,2038.91,1883.04,40.16K,-3.87%
07/14/2021,1994.73,1940.59,2017.67,1865.58,37.38K,2.77%
07/13/2021,1940.99,2031.35,2043.39,1918.67,35.89K,-4.49%
07/12/2021,2032.26,2141.93,2166.87,2008.94,26.09K,-5.05%
07/11/2021,2140.43,2110.69,2172.80,2082.46,22.42K,1.42%
07/10/2021,2110.48,2146.33,2191.01,2076.51,33.41K,-1.67%
07/09/2021,2146.33,2113.33,2187.09,2049.32,49.42K,1.51%
07/08/2021,2114.50,2316.17,2324.11,2087.34,57.68K,-8.74%
07/07/2021,2317.13,2321.40,2396.83,2308.63,42.72K,0.29%
07/06/2021,2310.43,2196.90,2337.41,2196.90,85.00K,5.22%
07/05/2021,2195.73,2321.43,2321.43,2195.73,75.18K,-5.40%
07/04/2021,2321.00,2325.37,2353.06,2321.00,41.83K,4.40%
07/03/2021,2223.15,2154.60,2230.95,2154.60,55.32K,3.18%
07/02/2021,2154.60,2107.92,2154.60,2047.51,104.04K,2.19%
07/01/2021,2108.34,2274.99,2274.99,2108.34,106.44K,-7.33%
06/30/2021,2274.99,2164.88,2274.99,2159.56,101.79K,5.13%
06/29/2021,2163.91,2084.40,2163.91,2084.40,88.28K,3.80%
06/28/2021,2084.60,1981.71,2084.60,1981.71,81.78K,5.26%
06/27/2021,1980.35,1830.73,1980.35,1826.90,66.22K,8.17%
06/26/2021,1830.86,1811.22,1830.86,1765.13,118.69K,1.08%
06/25/2021,1811.23,1989.68,1989.68,1811.23,122.15K,-8.97%
06/24/2021,1989.62,1968.12,1989.62,1944.34,79.90K,1.11%
06/23/2021,1967.83,1877.58,1999.17,1877.58,120.53K,4.81%
06/22/2021,1877.48,1885.13,1885.13,1769.29,219.74K,-0.46%
06/21/2021,1886.25,2245.58,2245.58,1886.25,219.79K,-15.92%
06/20/2021,2243.42,2164.72,2243.42,2091.96,72.42K,3.60%
06/19/2021,2165.40,2234.13,2249.26,2165.40,47.58K,-3.04%
06/18/2021,2233.37,2372.86,2372.86,2233.37,63.01K,-5.86%
06/17/2021,2372.28,2368.17,2440.23,2368.17,39.81K,0.17%
06/16/2021,2368.17,2544.13,2544.13,2368.17,50.05K,-6.90%
06/15/2021,2543.82,2580.81,2583.29,2543.82,37.46K,-1.46%
06/14/2021,2581.43,2508.92,2581.43,2479.98,47.93K,2.93%
06/13/2021,2507.86,2369.70,2507.86,2369.70,57.54K,5.87%
06/12/2021,2368.74,2354.02,2368.88,2290.57,70.64K,0.63%
06/11/2021,2353.84,2469.52,2474.57,2353.84,57.76K,-4.67%
06/10/2021,2469.08,2609.93,2609.93,2469.08,61.47K,-5.42%
